function,dimension,mu,lambda,strategy,run,best_fitness,generations,function_evals,time,converged
rastrigin,10,20,140,comma,18,44.77286372841728,500,70020,0.5865919589996338,False
rastrigin,10,20,140,comma,19,48.752817018377684,500,70020,0.5854179859161377,False
rastrigin,10,20,140,comma,20,27.858803174983223,500,70020,0.590303897857666,False
rastrigin,10,20,140,comma,21,25.868890098615736,500,70020,0.5862557888031006,False
rastrigin,10,20,140,comma,22,11.939503647300427,500,70020,0.5839412212371826,False
rastrigin,10,20,140,comma,23,41.78811369436279,500,70020,0.5881218910217285,False
rastrigin,10,20,140,comma,24,49.747755878756514,500,70020,0.5993731021881104,False
rastrigin,10,20,140,comma,25,32.83353264959024,500,70020,0.5969669818878174,False
rastrigin,10,20,140,comma,26,39.79819558017621,500,70020,0.6009130477905273,False
rastrigin,10,20,140,comma,27,54.72242402699758,500,70020,0.6024010181427002,False
rastrigin,10,20,140,comma,28,28.85375719425744,500,70020,0.5999798774719238,False
rastrigin,10,20,140,comma,29,56.71239842973104,500,70020,0.5892858505249023,False
rastrigin,10,20,140,comma,30,26.86378334484958,500,70020,0.5838196277618408,False
rastrigin,10,20,140,plus,1,16.914288857128724,500,70020,0.5961549282073975,False
rastrigin,10,20,140,plus,2,38.80311946149568,500,70020,0.5923161506652832,False
rastrigin,10,20,140,plus,3,60.692087324164355,500,70020,0.5911221504211426,False
rastrigin,10,20,140,plus,4,12.934457666574644,500,70020,0.5870280265808105,False
rastrigin,10,20,140,plus,5,34.823471143388275,500,70020,0.588306188583374,False
rastrigin,10,20,140,plus,6,44.7729858278236,500,70020,0.5836498737335205,False
rastrigin,10,20,140,plus,7,39.79821577689067,500,70020,0.5877130031585693,False
rastrigin,10,20,140,plus,8,35.81838458633658,500,70020,0.5808670520782471,False
rastrigin,10,20,140,plus,9,25.86886990190129,500,70020,0.5823171138763428,False
rastrigin,10,20,140,plus,10,24.873946200417805,500,70020,0.5938470363616943,False
rastrigin,10,20,140,plus,11,38.80331749283774,500,70020,0.611457109451294,False
rastrigin,10,20,140,plus,12,25.868869901901263,500,70020,0.6160149574279785,False
rastrigin,10,20,140,plus,13,10.94454459020713,500,70020,0.6004412174224854,False
rastrigin,10,20,140,plus,14,5.969754342559753,500,70020,0.59181809425354,False
rastrigin,10,20,140,plus,15,22.884017965154925,500,70020,0.6314539909362793,False
rastrigin,10,20,140,plus,16,28.85374203536206,500,70020,0.5867810249328613,False
rastrigin,10,20,140,plus,17,53.7275870693106,500,70020,0.5841100215911865,False
rastrigin,10,20,140,plus,18,36.81332344671542,500,70020,0.5911281108856201,False
rastrigin,10,20,140,plus,19,17.909242876402914,500,70020,0.5956130027770996,False
rastrigin,10,20,140,plus,20,31.838614168822858,500,70020,0.5911307334899902,False
rastrigin,10,20,140,plus,21,24.87393104152244,500,70020,0.5873029232025146,False
rastrigin,10,20,140,plus,22,57.70727596374392,500,70020,0.5860788822174072,False
rastrigin,10,20,140,plus,23,71.63656106569296,500,70020,0.5884170532226562,False
rastrigin,10,20,140,plus,24,10.94453955238805,500,70020,0.5902769565582275,False
rastrigin,10,20,140,plus,25,59.69714846378552,500,70020,0.5902261734008789,False
rastrigin,10,20,140,plus,26,40.79321541030987,500,70020,0.5945079326629639,False
rastrigin,10,20,140,plus,27,29.848716251350737,500,70020,0.5888986587524414,False
rastrigin,10,20,140,plus,28,13.929416723667913,500,70020,0.58614182472229,False
rastrigin,10,20,140,plus,29,52.732567239176944,500,70020,0.592167854309082,False
rastrigin,10,20,140,plus,30,62.68210212032672,500,70020,0.659264087677002,False
rastrigin,20,30,200,comma,1,98.50034889503604,500,100030,0.8729701042175293,False
rastrigin,20,30,200,comma,2,76.61168096640128,500,100030,0.8751208782196045,False
rastrigin,20,30,200,comma,3,99.49548634008252,500,100030,0.8755190372467041,False
rastrigin,20,30,200,comma,4,88.55099221894248,500,100030,0.8713750839233398,False
rastrigin,20,30,200,comma,5,123.37425021753145,500,100030,0.8723409175872803,False
rastrigin,20,30,200,comma,6,104.47026142883452,500,100030,0.8705861568450928,False
rastrigin,20,30,200,comma,7,141.28343250379103,500,100030,0.8733320236206055,False
rastrigin,20,30,200,comma,8,86.56103819582046,500,100030,0.872298002243042,False
rastrigin,20,30,200,comma,9,101.48520083178236,500,100030,0.8760383129119873,False
rastrigin,20,30,200,comma,10,103.47530181841563,500,100030,0.8756117820739746,False
rastrigin,20,30,200,comma,11,69.64697764238639,500,100030,0.8752849102020264,False
rastrigin,20,30,200,comma,12,56.71256540705977,500,100030,0.8777179718017578,False
rastrigin,20,30,200,comma,13,92.53088940325298,500,100030,0.890416145324707,False
rastrigin,20,30,200,comma,14,81.58634463014887,500,100030,0.8781599998474121,False
rastrigin,20,30,200,comma,15,83.57618177458062,500,100030,0.8821160793304443,False
rastrigin,20,30,200,comma,16,109.44502644194836,500,100030,1.008241891860962,False
rastrigin,20,30,200,comma,17,72.63176880609237,500,100030,0.9254839420318604,False
rastrigin,20,30,200,comma,18,85.5661606618076,500,100030,0.9195020198822021,False
rastrigin,20,30,200,comma,19,107.45499126617455,500,100030,0.9626650810241699,False
rastrigin,20,30,200,comma,20,91.53595054287416,500,100030,0.960453987121582,False
rastrigin,20,30,200,comma,21,73.62662596049381,500,100030,0.8861331939697266,False
rastrigin,20,30,200,comma,22,103.4753631447816,500,100030,1.040776252746582,False
rastrigin,20,30,200,comma,23,103.47524104537527,500,100030,1.0339090824127197,False
rastrigin,20,30,200,comma,24,100.49046559389026,500,100030,0.8841216564178467,False
rastrigin,20,30,200,comma,25,59.69737676748019,500,100030,1.126918077468872,False
rastrigin,20,30,200,comma,26,109.44488396293062,500,100030,0.9947509765625,False
rastrigin,20,30,200,comma,27,104.4700578063478,500,100030,0.9871690273284912,False
rastrigin,20,30,200,comma,28,46.76300510847943,500,100030,0.9860870838165283,False
rastrigin,20,30,200,comma,29,104.47015448832357,500,100030,0.9231460094451904,False
rastrigin,20,30,200,comma,30,74.6217678900338,500,100030,0.9865930080413818,False
